Sample	Assigned	Unassigned: Singleton	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
Sito-aaP3_163_vs.5941_ribofiltered+trimmed	7233897.0	14079.0	279950.0	1638947.0	967.0
crassa-aP1-sex_163_vs.2489_ribofiltered+trimmed	9785646.0	20820.0	90752.0	595423.0	15281.0
crassa-aP1_163_vs.2489_ribofiltered+trimmed	7695456.0	178648.0	31896.0	266366.0	9328.0
crassa-aP2-sex_163_vs.2489_ribofiltered+trimmed	6107684.0	14583.0	115366.0	474329.0	9463.0
crassa-aP2_163_vs.2489_ribofiltered+trimmed	8485460.0	175116.0	54089.0	334580.0	10923.0
crassa-aP3_163_vs.2489_ribofiltered+trimmed	12210523.0	24437.0	109931.0	608901.0	12918.0
crassa-aaP1-sex_163_vs.2489_ribofiltered+trimmed	7844401.0	12566.0	49440.0	426544.0	14828.0
crassa-aaP1_163_vs.2489_ribofiltered+trimmed	9337903.0	14349.0	93530.0	388218.0	9992.0
crassa-aaP2-sex_163_vs.2489_ribofiltered+trimmed	9522347.0	26273.0	81682.0	604601.0	14807.0
crassa-aaP2_163_vs.2489_ribofiltered+trimmed	8174682.0	16589.0	148948.0	450195.0	8217.0
crassa-aaP3-sex_163_vs.2489_ribofiltered+trimmed	9245050.0	20068.0	99606.0	561017.0	15411.0
crassa-aaP3_163_vs.2489_ribofiltered+trimmed	8869311.0	17822.0	62015.0	467024.0	9034.0
crassa-ap3-sex_163_vs.2489_ribofiltered+trimmed	12673790.0	23526.0	87994.0	700778.0	22787.0
