Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned
L6aP3_merged_vs.2508_ribofiltered+trimmed	88.0835115100569	16479915
L6aP3_merged_vs.2509_ribofiltered+trimmed	87.08759012432043	16527320
L6aaP1-sex_merged_vs.2508_ribofiltered+trimmed	85.73437931497978	17540611
L6aaP1-sex_merged_vs.2509_ribofiltered+trimmed	85.45575942498587	17576644
L6aaP1_merged_vs.2508_ribofiltered+trimmed	87.63920811299752	7643982
L6aaP1_merged_vs.2509_ribofiltered+trimmed	72.68695077130106	7681972
L6aaP2-sex_merged_vs.2508_ribofiltered+trimmed	85.81229957370023	15396502
L6aaP2-sex_merged_vs.2509_ribofiltered+trimmed	85.53653569323943	15420773
L6aaP2_merged_vs.2508_ribofiltered+trimmed	88.97313686727192	8466996
L6aaP2_merged_vs.2509_ribofiltered+trimmed	69.734660920757	8534155
L6aaP3-sex_merged_vs.2508_ribofiltered+trimmed	85.06111270574928	15146151
L6aaP3-sex_merged_vs.2509_ribofiltered+trimmed	84.7417649441909	15169342
L6aaP3_merged_vs.2508_ribofiltered+trimmed	87.76681291971214	8638675
L6aaP3_merged_vs.2509_ribofiltered+trimmed	66.55115158498623	8709669
Sito-aP1-sex_163_vs.5940_ribofiltered+trimmed	72.12740751182186	8412164
Sito-aP1-sex_163_vs.5941_ribofiltered+trimmed	75.59556130543534	8406110
Sito-aP1_163_vs.5940_ribofiltered+trimmed	65.42122756174152	8023943
Sito-aP1_163_vs.5941_ribofiltered+trimmed	80.52473797287647	8020371
Sito-aP2-sex_163_vs.5940_ribofiltered+trimmed	72.6736765801975	8168857
Sito-aP2-sex_163_vs.5941_ribofiltered+trimmed	76.81281015808004	8161845
Sito-aP2_163_vs.5940_ribofiltered+trimmed	66.09601458590937	7519386
Sito-aP2_163_vs.5941_ribofiltered+trimmed	81.91390412332483	7515699
Sito-aP3-sex_163_vs.5940_ribofiltered+trimmed	70.33314717698495	11933999
Sito-aP3-sex_163_vs.5941_ribofiltered+trimmed	75.1711168199439	11922742
Sito-aP3_163_vs.5940_ribofiltered+trimmed	65.65437020739441	7972789
Sito-aP3_163_vs.5941_ribofiltered+trimmed	81.40529384943966	7971764
Sito-aaP1-sex_163_vs.5940_ribofiltered+trimmed	72.00627160649256	11644806
Sito-aaP1-sex_163_vs.5941_ribofiltered+trimmed	77.65598971655803	11636646
Sito-aaP1_163_vs.5940_ribofiltered+trimmed	48.95940477269824	4228214
Sito-aaP1_163_vs.5941_ribofiltered+trimmed	74.6316053027421	4223766
Sito-aaP2-sex_163_vs.5940_ribofiltered+trimmed	68.68838851051949	9052690
Sito-aaP2-sex_163_vs.5941_ribofiltered+trimmed	76.43184116249269	9048009
Sito-aaP2_163_vs.5940_ribofiltered+trimmed	64.57782237109909	6996174
Sito-aaP2_163_vs.5941_ribofiltered+trimmed	80.98432734248026	6988894
Sito-aaP3-sex_163_vs.5940_ribofiltered+trimmed	70.16491643748678	8291739
Sito-aaP3-sex_163_vs.5941_ribofiltered+trimmed	75.90225244540073	8291389
Sito-aaP3_163_vs.5940_ribofiltered+trimmed	60.87180645844864	7244599
