Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
L1aaP3-sex_154_vs.9033_ribofiltered+trimmed	12685788	9364097	0	0	16007	0	0	0	0	249064	0	0	3053664	0	2956	73.81565102617196
L1aaP3-sex_154_vs.9034_ribofiltered+trimmed	12778854	9336252	0	0	17177	0	0	0	0	315293	0	0	3105454	0	4678	73.06016642806938
L1aaP3_merged2017_vs.9033_ribofiltered+trimmed	8371908	6652385	0	0	23967	0	0	0	0	66866	0	0	1627280	0	1410	79.46079913921653
L1aaP3_merged2017_vs.9034_ribofiltered+trimmed	12118155	6589112	0	0	71341	0	0	0	0	3930192	0	0	1524984	0	2526	54.373887774170235
L6aP1-sex_merged_vs.2508_ribofiltered+trimmed	19332125	16383817	0	0	43848	0	0	0	0	185239	0	0	2710096	0	9125	84.74917785809889
L6aP1-sex_merged_vs.2509_ribofiltered+trimmed	19352984	16520490	0	0	46398	0	0	0	0	84749	0	0	2690862	0	10485	85.36404515190009
L6aP1_merged_vs.2508_ribofiltered+trimmed	7153585	6138234	0	0	94453	0	0	0	0	84027	0	0	833961	0	2910	85.80640336278942
L6aP1_merged_vs.2509_ribofiltered+trimmed	10371991	6247598	0	0	161073	0	0	0	0	2405030	0	0	1555501	0	2789	60.235281731347435
L6aP2-sex_merged_vs.2508_ribofiltered+trimmed	16805010	14231692	0	0	17477	0	0	0	0	154880	0	0	2393362	0	7599	84.68719744885603
L6aP2-sex_merged_vs.2509_ribofiltered+trimmed	16833772	14351551	0	0	18659	0	0	0	0	81659	0	0	2373351	0	8552	85.25451693179639
L6aP2_merged2017_vs.2508_ribofiltered+trimmed	6368192	5412547	0	0	93491	0	0	0	0	71665	0	0	787918	0	2571	84.99346439303338
L6aP2_merged2017_vs.2509_ribofiltered+trimmed	10730272	5562696	0	0	199344	0	0	0	0	3194996	0	0	1770824	0	2412	51.84114624494141
L6aP3-sex_merged_vs.2508_ribofiltered+trimmed	16213938	13817095	0	0	31375	0	0	0	0	153954	0	0	2203976	0	7538	85.21739135797854
L6aP3-sex_merged_vs.2509_ribofiltered+trimmed	16254347	13937717	0	0	33329	0	0	0	0	68764	0	0	2205732	0	8805	85.74762800375801
L6aP3_merged_vs.2508_ribofiltered+trimmed	18709421	16479915	0	0	173168	0	0	0	0	178753	0	0	1872008	0	5577	88.0835115100569
L6aP3_merged_vs.2509_ribofiltered+trimmed	18977813	16527320	0	0	188687	0	0	0	0	289665	0	0	1965434	0	6707	87.08759012432043
L6aaP1-sex_merged_vs.2508_ribofiltered+trimmed	20459250	17540611	0	0	52460	0	0	0	0	101442	0	0	2755705	0	9032	85.73437931497978
L6aaP1-sex_merged_vs.2509_ribofiltered+trimmed	20568121	17576644	0	0	49798	0	0	0	0	297664	0	0	2634534	0	9481	85.45575942498587
L6aaP1_merged_vs.2508_ribofiltered+trimmed	8722103	7643982	0	0	114479	0	0	0	0	58014	0	0	902172	0	3456	87.63920811299752
L6aaP1_merged_vs.2509_ribofiltered+trimmed	10568571	7681972	0	0	144095	0	0	0	0	1439942	0	0	1299215	0	3347	72.68695077130106
L6aaP2-sex_merged_vs.2508_ribofiltered+trimmed	17942069	15396502	0	0	213532	0	0	0	0	71509	0	0	2252255	0	8271	85.81229957370023
L6aaP2-sex_merged_vs.2509_ribofiltered+trimmed	18028288	15420773	0	0	201875	0	0	0	0	247208	0	0	2149672	0	8760	85.53653569323943
L6aaP2_merged_vs.2508_ribofiltered+trimmed	9516351	8466996	0	0	20136	0	0	0	0	53544	0	0	972681	0	2994	88.97313686727192
L6aaP2_merged_vs.2509_ribofiltered+trimmed	12238039	8534155	0	0	45167	0	0	0	0	2087333	0	0	1568122	0	3262	69.734660920757
L6aaP3-sex_merged_vs.2508_ribofiltered+trimmed	17806199	15146151	0	0	409871	0	0	0	0	72636	0	0	2169069	0	8472	85.06111270574928
