sampleID	Annotation	Species	sample	number	genome	tissue	path
L6_BA_P2_sex	L6_BA	L6_BA	P2	merged	2508	sex	bamfiles/L6_BA/L6aaP2-sex_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_BA_P3_veg	L6_BA	L6_BA	P3	merged	2508	veg	bamfiles/L6_BA/L6aaP3_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_BA_P3_sex	L6_BA	L6_BA	P3	merged	2508	sex	bamfiles/L6_BA/L6aaP3-sex_merged_vs.2508_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P1_veg	L6_sa	L6_sa	P1	merged	2509	veg	bamfiles/L6_sa/L6aP1_merged_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P1_sex	L6_sa	L6_sa	P1	merged	2509	sex	bamfiles/L6_sa/L6aP1-sex_merged_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P2_veg	L6_sa	L6_sa	P2	merged2017	2509	veg	bamfiles/L6_sa/L6aP2_merged2017_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P2_sex	L6_sa	L6_sa	P2	merged	2509	sex	bamfiles/L6_sa/L6aP2-sex_merged_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P3_veg	L6_sa	L6_sa	P3	merged	2509	veg	bamfiles/L6_sa/L6aP3_merged_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
L6_sa_P3_sex	L6_sa	L6_sa	P3	merged	2509	sex	bamfiles/L6_sa/L6aP3-sex_merged_vs.2509_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_BA_P1_veg	sito_BA	sito_BA	P1	163	5940	veg	bamfiles/sito_BA/Sito-aaP1_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
sito_BA_P1_sex	sito_BA	sito_BA	P1	163	5940	sex	bamfiles/sito_BA/Sito-aaP1-sex_163_vs.5940_ribofiltered+trimmed_Aligned.sortedByCoord.out.bam
